




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	OLqNSCI (Mus musculus )OLqNSCII (Mus musculus )OLpNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	OLqNSCI (348)	OLqNSCI (expected)	OLqNSCI (over/under)	OLqNSCI (fold Enrichment)	OLqNSCI (raw P-value)	OLqNSCI (FDR)	OLqNSCII (188)	OLqNSCII (expected)	OLqNSCII (over/under)	OLqNSCII (fold Enrichment)	OLqNSCII (raw P-value)	OLqNSCII (FDR)	OLpNSC (526)	OLpNSC (expected)	OLpNSC (over/under)	OLpNSC (fold Enrichment)	OLpNSC (raw P-value)	OLpNSC (FDR)
Golgi membrane (GO:0000139)	93	1	1.45	-	.69	1.00E00	1.03E00	0	.78	-	 < 0.01	1.00E00	1.20E00	4	2.19	+	1.82	2.89E-01	1.19E00
protein kinase complex (GO:1902911)	23	1	.36	+	2.79	3.11E-01	1.41E00	1	.19	+	5.16	1.83E-01	2.27E00	0	.54	-	 < 0.01	1.00E00	1.35E00
whole membrane (GO:0098805)	30	1	.47	+	2.14	3.81E-01	1.58E00	0	.25	-	 < 0.01	1.00E00	2.67E00	1	.71	+	1.41	5.15E-01	1.51E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	24	1	.37	+	2.67	3.21E-01	1.44E00	0	.20	-	 < 0.01	1.00E00	1.14E00	0	.57	-	 < 0.01	1.00E00	1.23E00
transcription factor TFIIIC complex (GO:0000127)	7	1	.11	+	9.15	1.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.22E00	0	.17	-	 < 0.01	1.00E00	1.12E00
lipid droplet (GO:0005811)	18	1	.28	+	3.56	2.55E-01	1.27E00	1	.15	+	6.59	1.48E-01	2.07E00	0	.42	-	 < 0.01	1.00E00	1.19E00
peroxisome (GO:0005777)	32	1	.50	+	2.00	4.00E-01	1.59E00	0	.27	-	 < 0.01	1.00E00	1.03E00	2	.75	+	2.65	1.84E-01	1.23E00
late endosome (GO:0005770)	33	1	.52	+	1.94	4.10E-01	1.60E00	0	.28	-	 < 0.01	1.00E00	1.56E00	1	.78	+	1.28	5.48E-01	1.52E00
early endosome (GO:0005769)	27	1	.42	+	2.37	3.52E-01	1.50E00	0	.23	-	 < 0.01	1.00E00	2.17E00	3	.64	+	4.71	3.12E-02	6.07E-01
mitochondrial matrix (GO:0005759)	57	1	.89	+	1.12	5.93E-01	1.91E00	0	.48	-	 < 0.01	1.00E00	2.60E00	1	1.34	-	.74	1.00E00	2.13E00
collagen-containing extracellular matrix (GO:0062023)	33	1	.52	+	1.94	4.10E-01	1.58E00	0	.28	-	 < 0.01	1.00E00	1.55E00	2	.78	+	2.57	1.93E-01	1.20E00
small nucleolar ribonucleoprotein complex (GO:0005732)	11	1	.17	+	5.82	1.70E-01	1.13E00	0	.09	-	 < 0.01	1.00E00	2.23E00	0	.26	-	 < 0.01	1.00E00	1.31E00
endosome membrane (GO:0010008)	45	1	.70	+	1.42	5.10E-01	1.78E00	1	.38	+	2.64	3.21E-01	2.39E00	2	1.06	+	1.88	2.95E-01	1.19E00
preribosome, small subunit precursor (GO:0030688)	8	1	.12	+	8.01	1.30E-01	9.88E-01	0	.07	-	 < 0.01	1.00E00	1.46E00	1	.19	+	5.30	1.89E-01	1.23E00
preribosome, large subunit precursor (GO:0030687)	26	1	.41	+	2.46	3.42E-01	1.49E00	0	.22	-	 < 0.01	1.00E00	1.43E00	0	.61	-	 < 0.01	1.00E00	1.51E00
90S preribosome (GO:0030686)	34	1	.53	+	1.88	4.19E-01	1.56E00	0	.29	-	 < 0.01	1.00E00	1.19E00	0	.80	-	 < 0.01	1.00E00	1.22E00
dynein complex (GO:0030286)	54	1	.84	+	1.19	5.74E-01	1.88E00	0	.46	-	 < 0.01	1.00E00	3.67E00	0	1.27	-	 < 0.01	6.38E-01	1.51E00
actin filament bundle (GO:0032432)	19	1	.30	+	3.37	2.66E-01	1.30E00	0	.16	-	 < 0.01	1.00E00	1.16E00	0	.45	-	 < 0.01	1.00E00	1.03E00
anchoring junction (GO:0070161)	36	0	.56	-	 < 0.01	1.00E00	1.09E00	0	.30	-	 < 0.01	1.00E00	1.54E00	0	.85	-	 < 0.01	1.00E00	1.73E00
transcription factor TFIID complex (GO:0005669)	17	0	.27	-	 < 0.01	1.00E00	1.07E00	0	.14	-	 < 0.01	1.00E00	1.06E00	0	.40	-	 < 0.01	1.00E00	1.06E00
DNA-directed RNA polymerase III complex (GO:0005666)	16	0	.25	-	 < 0.01	1.00E00	1.39E00	0	.13	-	 < 0.01	1.00E00	1.29E00	0	.38	-	 < 0.01	1.00E00	1.10E00
DNA-directed RNA polymerase II, core complex (GO:0005665)	7	0	.11	-	 < 0.01	1.00E00	1.21E00	0	.06	-	 < 0.01	1.00E00	1.25E00	0	.17	-	 < 0.01	1.00E00	1.14E00
coated vesicle membrane (GO:0030662)	8	0	.12	-	 < 0.01	1.00E00	1.55E00	0	.07	-	 < 0.01	1.00E00	1.51E00	0	.19	-	 < 0.01	1.00E00	1.66E00
nuclear origin of replication recognition complex (GO:0005664)	6	0	.09	-	 < 0.01	1.00E00	2.53E00	0	.05	-	 < 0.01	1.00E00	3.25E00	0	.14	-	 < 0.01	1.00E00	1.87E00
Golgi-associated vesicle membrane (GO:0030660)	7	0	.11	-	 < 0.01	1.00E00	1.20E00	0	.06	-	 < 0.01	1.00E00	1.24E00	0	.17	-	 < 0.01	1.00E00	1.13E00
DNA replication factor A complex (GO:0005662)	6	0	.09	-	 < 0.01	1.00E00	2.52E00	0	.05	-	 < 0.01	1.00E00	3.22E00	0	.14	-	 < 0.01	1.00E00	1.86E00
transporter complex (GO:1990351)	5	0	.08	-	 < 0.01	1.00E00	1.45E00	0	.04	-	 < 0.01	1.00E00	1.72E00	1	.12	+	8.48	1.31E-01	1.19E00
cytoplasmic side of plasma membrane (GO:0009898)	55	0	.86	-	 < 0.01	1.00E00	2.72E00	1	.46	+	2.16	3.75E-01	2.44E00	1	1.30	-	.77	1.00E00	2.01E00
apical plasma membrane (GO:0016324)	26	0	.41	-	 < 0.01	1.00E00	1.31E00	0	.22	-	 < 0.01	1.00E00	1.45E00	0	.61	-	 < 0.01	1.00E00	1.53E00
membrane region (GO:0098589)	13	0	.20	-	 < 0.01	1.00E00	2.15E00	0	.11	-	 < 0.01	1.00E00	1.78E00	1	.31	+	3.26	2.79E-01	1.24E00
ciliary base (GO:0097546)	6	0	.09	-	 < 0.01	1.00E00	2.50E00	0	.05	-	 < 0.01	1.00E00	3.20E00	0	.14	-	 < 0.01	1.00E00	1.85E00
transport vesicle membrane (GO:0030658)	3	0	.05	-	 < 0.01	1.00E00	2.70E00	0	.03	-	 < 0.01	1.00E00	2.95E00	0	.07	-	 < 0.01	1.00E00	1.97E00
replication fork (GO:0005657)	10	0	.16	-	 < 0.01	1.00E00	1.95E00	0	.08	-	 < 0.01	1.00E00	2.11E00	0	.24	-	 < 0.01	1.00E00	1.30E00
nuclear pre-replicative complex (GO:0005656)	23	0	.36	-	 < 0.01	1.00E00	1.48E00	0	.19	-	 < 0.01	1.00E00	1.37E00	0	.54	-	 < 0.01	1.00E00	1.36E00
THO complex (GO:0000347)	6	0	.09	-	 < 0.01	1.00E00	2.49E00	0	.05	-	 < 0.01	1.00E00	3.18E00	1	.14	+	7.06	1.51E-01	1.18E00
replication fork protection complex (GO:0031298)	9	0	.14	-	 < 0.01	1.00E00	1.78E00	0	.08	-	 < 0.01	1.00E00	1.61E00	0	.21	-	 < 0.01	1.00E00	1.59E00
transcription export complex (GO:0000346)	8	0	.12	-	 < 0.01	1.00E00	1.54E00	0	.07	-	 < 0.01	1.00E00	1.51E00	2	.19	+	10.60	2.11E-02	6.75E-01
organelle inner membrane (GO:0019866)	118	0	1.84	-	 < 0.01	2.69E-01	1.30E00	0	.99	-	 < 0.01	6.30E-01	3.17E00	3	2.78	+	1.08	7.59E-01	1.70E00
ciliary transition fiber (GO:0097539)	6	0	.09	-	 < 0.01	1.00E00	2.48E00	0	.05	-	 < 0.01	1.00E00	3.15E00	0	.14	-	 < 0.01	1.00E00	1.84E00
intrinsic component of mitochondrial membrane (GO:0098573)	2	0	.03	-	 < 0.01	1.00E00	1.14E00	0	.02	-	 < 0.01	1.00E00	1.13E00	0	.05	-	 < 0.01	1.00E00	1.08E00
mitochondrial membrane part (GO:0044455)	8	0	.12	-	 < 0.01	1.00E00	1.54E00	0	.07	-	 < 0.01	1.00E00	1.50E00	0	.19	-	 < 0.01	1.00E00	1.65E00
spliceosomal snRNP complex (GO:0097525)	73	0	1.14	-	 < 0.01	6.32E-01	1.98E00	1	.62	+	1.62	4.63E-01	2.59E00	2	1.72	+	1.16	6.92E-01	1.61E00
nuclear chromosome part (GO:0044454)	52	0	.81	-	 < 0.01	1.00E00	1.34E00	0	.44	-	 < 0.01	1.00E00	3.64E00	0	1.23	-	 < 0.01	6.35E-01	1.53E00
cytoplasmic side of membrane (GO:0098562)	5	0	.08	-	 < 0.01	1.00E00	1.45E00	0	.04	-	 < 0.01	1.00E00	1.72E00	0	.12	-	 < 0.01	1.00E00	1.18E00
presynaptic membrane (GO:0042734)	23	0	.36	-	 < 0.01	1.00E00	1.48E00	0	.19	-	 < 0.01	1.00E00	1.37E00	0	.54	-	 < 0.01	1.00E00	1.36E00
nucleoplasm part (GO:0044451)	145	0	2.26	-	 < 0.01	1.79E-01	1.14E00	0	1.22	-	 < 0.01	6.37E-01	3.04E00	4	3.42	+	1.17	5.90E-01	1.57E00
I band (GO:0031674)	28	0	.44	-	 < 0.01	1.00E00	1.02E00	0	.24	-	 < 0.01	1.00E00	1.10E00	0	.66	-	 < 0.01	1.00E00	1.01E00
nuclear inner membrane (GO:0005637)	13	0	.20	-	 < 0.01	1.00E00	2.14E00	0	.11	-	 < 0.01	1.00E00	1.76E00	1	.31	+	3.26	2.79E-01	1.22E00
A band (GO:0031672)	8	0	.12	-	 < 0.01	1.00E00	1.53E00	0	.07	-	 < 0.01	1.00E00	1.50E00	0	.19	-	 < 0.01	1.00E00	1.65E00
intraciliary transport particle B (GO:0030992)	17	0	.27	-	 < 0.01	1.00E00	1.07E00	0	.14	-	 < 0.01	1.00E00	1.06E00	0	.40	-	 < 0.01	1.00E00	1.05E00
lytic vacuole (GO:0000323)	89	0	1.39	-	 < 0.01	6.50E-01	1.95E00	3	.75	+	4.00	4.21E-02	1.88E00	3	2.10	+	1.43	4.73E-01	1.44E00
exon-exon junction complex (GO:0035145)	10	0	.16	-	 < 0.01	1.00E00	1.94E00	0	.08	-	 < 0.01	1.00E00	2.10E00	0	.24	-	 < 0.01	1.00E00	1.30E00
BBSome (GO:0034464)	7	0	.11	-	 < 0.01	1.00E00	1.20E00	0	.06	-	 < 0.01	1.00E00	1.24E00	1	.17	+	6.06	1.70E-01	1.27E00
contractile fiber part (GO:0044449)	1	0	.02	-	 < 0.01	1.00E00	1.72E00	0	.01	-	 < 0.01	1.00E00	1.89E00	0	.02	-	 < 0.01	1.00E00	1.78E00
axoneme part (GO:0044447)	20	0	.31	-	 < 0.01	1.00E00	1.27E00	0	.17	-	 < 0.01	1.00E00	1.42E00	0	.47	-	 < 0.01	1.00E00	1.43E00
CMG complex (GO:0071162)	20	0	.31	-	 < 0.01	1.00E00	1.27E00	0	.17	-	 < 0.01	1.00E00	1.42E00	0	.47	-	 < 0.01	1.00E00	1.43E00
axonemal central apparatus (GO:1990716)	20	0	.31	-	 < 0.01	1.00E00	1.26E00	0	.17	-	 < 0.01	1.00E00	1.41E00	0	.47	-	 < 0.01	1.00E00	1.42E00
intracellular organelle part (GO:0044446)	2	0	.03	-	 < 0.01	1.00E00	1.13E00	0	.02	-	 < 0.01	1.00E00	1.12E00	0	.05	-	 < 0.01	1.00E00	1.08E00
side of membrane (GO:0098552)	5	0	.08	-	 < 0.01	1.00E00	1.45E00	0	.04	-	 < 0.01	1.00E00	1.71E00	0	.12	-	 < 0.01	1.00E00	1.17E00
spindle midzone (GO:0051233)	11	0	.17	-	 < 0.01	1.00E00	2.36E00	0	.09	-	 < 0.01	1.00E00	2.40E00	1	.26	+	3.85	2.44E-01	1.33E00
integral component of mitochondrial outer membrane (GO:0031307)	10	0	.16	-	 < 0.01	1.00E00	1.93E00	0	.08	-	 < 0.01	1.00E00	2.09E00	1	.24	+	4.24	2.26E-01	1.28E00
membrane raft (GO:0045121)	11	0	.17	-	 < 0.01	1.00E00	2.35E00	0	.09	-	 < 0.01	1.00E00	2.38E00	1	.26	+	3.85	2.44E-01	1.32E00
ciliary part (GO:0044441)	40	0	.62	-	 < 0.01	1.00E00	1.08E00	0	.34	-	 < 0.01	1.00E00	1.31E00	2	.94	+	2.12	2.52E-01	1.26E00
integral component of mitochondrial inner membrane (GO:0031305)	21	0	.33	-	 < 0.01	1.00E00	1.01E00	0	.18	-	 < 0.01	1.00E00	1.08E00	0	.50	-	 < 0.01	1.00E00	1.02E00
photoreceptor outer segment (GO:0001750)	7	0	.11	-	 < 0.01	1.00E00	1.20E00	0	.06	-	 < 0.01	1.00E00	1.24E00	0	.17	-	 < 0.01	1.00E00	1.13E00
transcription elongation factor complex (GO:0008023)	23	0	.36	-	 < 0.01	1.00E00	1.47E00	0	.19	-	 < 0.01	1.00E00	1.37E00	0	.54	-	 < 0.01	1.00E00	1.35E00
synaptic vesicle (GO:0008021)	68	0	1.06	-	 < 0.01	6.29E-01	1.99E00	0	.57	-	 < 0.01	1.00E00	1.10E00	1	1.60	-	.62	1.00E00	2.11E00
integral component of organelle membrane (GO:0031301)	17	0	.27	-	 < 0.01	1.00E00	1.07E00	0	.14	-	 < 0.01	1.00E00	1.06E00	2	.40	+	4.99	7.00E-02	8.48E-01
intrinsic component of organelle membrane (GO:0031300)	2	0	.03	-	 < 0.01	1.00E00	1.13E00	0	.02	-	 < 0.01	1.00E00	1.12E00	0	.05	-	 < 0.01	1.00E00	1.08E00
collagen type IV trimer (GO:0005587)	3	0	.05	-	 < 0.01	1.00E00	2.68E00	0	.03	-	 < 0.01	1.00E00	2.93E00	0	.07	-	 < 0.01	1.00E00	1.96E00
DNA replication preinitiation complex (GO:0031261)	21	0	.33	-	 < 0.01	1.00E00	1.01E00	0	.18	-	 < 0.01	1.00E00	1.07E00	0	.50	-	 < 0.01	1.00E00	1.02E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	6	0	.09	-	 < 0.01	1.00E00	2.46E00	0	.05	-	 < 0.01	1.00E00	3.13E00	0	.14	-	 < 0.01	1.00E00	1.84E00
collagen trimer (GO:0005581)	12	0	.19	-	 < 0.01	1.00E00	1.68E00	0	.10	-	 < 0.01	1.00E00	2.53E00	1	.28	+	3.53	2.62E-01	1.26E00
endoplasmic reticulum part (GO:0044432)	24	0	.37	-	 < 0.01	1.00E00	1.15E00	0	.20	-	 < 0.01	1.00E00	1.15E00	1	.57	+	1.77	4.42E-01	1.37E00
Golgi apparatus part (GO:0044431)	14	0	.22	-	 < 0.01	1.00E00	1.96E00	0	.12	-	 < 0.01	1.00E00	1.05E00	0	.33	-	 < 0.01	1.00E00	1.05E00
cell wall (GO:0005618)	1	0	.02	-	 < 0.01	1.00E00	1.72E00	0	.01	-	 < 0.01	1.00E00	1.88E00	0	.02	-	 < 0.01	1.00E00	1.77E00
cytoskeletal part (GO:0044430)	50	0	.78	-	 < 0.01	1.00E00	1.35E00	0	.42	-	 < 0.01	1.00E00	1.93E00	1	1.18	-	.85	1.00E00	1.99E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	28	0	.44	-	 < 0.01	1.00E00	1.02E00	0	.24	-	 < 0.01	1.00E00	1.09E00	1	.66	+	1.51	4.92E-01	1.47E00
ribosomal subunit (GO:0044391)	8	0	.12	-	 < 0.01	1.00E00	1.53E00	1	.07	+	14.82	7.28E-02	1.92E00	0	.19	-	 < 0.01	1.00E00	1.64E00
respiratory chain (GO:0070469)	3	0	.05	-	 < 0.01	1.00E00	2.67E00	0	.03	-	 < 0.01	1.00E00	2.91E00	0	.07	-	 < 0.01	1.00E00	1.96E00
filopodium (GO:0030175)	4	0	.06	-	 < 0.01	1.00E00	1.63E00	0	.03	-	 < 0.01	1.00E00	1.35E00	0	.09	-	 < 0.01	1.00E00	1.22E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	19	0	.30	-	 < 0.01	1.00E00	1.11E00	0	.16	-	 < 0.01	1.00E00	1.18E00	0	.45	-	 < 0.01	1.00E00	1.04E00
integral component of Golgi membrane (GO:0030173)	33	0	.52	-	 < 0.01	1.00E00	1.28E00	0	.28	-	 < 0.01	1.00E00	1.56E00	2	.78	+	2.57	1.93E-01	1.22E00
mediator complex (GO:0016592)	28	0	.44	-	 < 0.01	1.00E00	1.02E00	0	.24	-	 < 0.01	1.00E00	1.09E00	0	.66	-	 < 0.01	1.00E00	1.01E00
DNA-directed RNA polymerase II, holoenzyme (GO:0016591)	73	0	1.14	-	 < 0.01	6.32E-01	1.97E00	0	.62	-	 < 0.01	1.00E00	2.72E00	1	1.72	-	.58	1.00E00	2.06E00
SAGA-type complex (GO:0070461)	11	0	.17	-	 < 0.01	1.00E00	2.33E00	0	.09	-	 < 0.01	1.00E00	2.37E00	0	.26	-	 < 0.01	1.00E00	1.33E00
cytochrome complex (GO:0070069)	4	0	.06	-	 < 0.01	1.00E00	1.62E00	0	.03	-	 < 0.01	1.00E00	1.35E00	1	.09	+	10.60	1.10E-01	1.15E00
organelle part (GO:0044422)	15	0	.23	-	 < 0.01	1.00E00	2.08E00	0	.13	-	 < 0.01	1.00E00	3.53E00	0	.35	-	 < 0.01	1.00E00	1.50E00
NADH dehydrogenase complex (GO:0030964)	2	0	.03	-	 < 0.01	1.00E00	1.13E00	0	.02	-	 < 0.01	1.00E00	1.12E00	0	.05	-	 < 0.01	1.00E00	1.07E00
basement membrane (GO:0005604)	5	0	.08	-	 < 0.01	1.00E00	1.44E00	0	.04	-	 < 0.01	1.00E00	1.70E00	0	.12	-	 < 0.01	1.00E00	1.17E00
protein acetyltransferase complex (GO:0031248)	8	0	.12	-	 < 0.01	1.00E00	1.52E00	0	.07	-	 < 0.01	1.00E00	1.49E00	0	.19	-	 < 0.01	1.00E00	1.64E00
outer dynein arm (GO:0036157)	24	0	.37	-	 < 0.01	1.00E00	1.15E00	0	.20	-	 < 0.01	1.00E00	1.15E00	0	.57	-	 < 0.01	1.00E00	1.24E00
inner dynein arm (GO:0036156)	19	0	.30	-	 < 0.01	1.00E00	1.10E00	0	.16	-	 < 0.01	1.00E00	1.18E00	0	.45	-	 < 0.01	1.00E00	1.03E00
cytoplasmic region (GO:0099568)	52	0	.81	-	 < 0.01	1.00E00	1.34E00	0	.44	-	 < 0.01	1.00E00	3.61E00	0	1.23	-	 < 0.01	6.35E-01	1.52E00
nuclear periphery (GO:0034399)	10	0	.16	-	 < 0.01	1.00E00	1.92E00	0	.08	-	 < 0.01	1.00E00	2.08E00	0	.24	-	 < 0.01	1.00E00	1.29E00
ruffle (GO:0001726)	13	0	.20	-	 < 0.01	1.00E00	2.13E00	0	.11	-	 < 0.01	1.00E00	1.76E00	0	.31	-	 < 0.01	1.00E00	1.68E00
stress fiber (GO:0001725)	4	0	.06	-	 < 0.01	1.00E00	1.62E00	0	.03	-	 < 0.01	1.00E00	1.34E00	0	.09	-	 < 0.01	1.00E00	1.21E00
proteasome core complex, alpha-subunit complex (GO:0019773)	8	0	.12	-	 < 0.01	1.00E00	1.52E00	0	.07	-	 < 0.01	1.00E00	1.49E00	0	.19	-	 < 0.01	1.00E00	1.63E00
ciliary transition zone (GO:0035869)	16	0	.25	-	 < 0.01	1.00E00	1.39E00	0	.13	-	 < 0.01	1.00E00	1.29E00	0	.38	-	 < 0.01	1.00E00	1.10E00
postsynaptic density (GO:0014069)	44	0	.69	-	 < 0.01	1.00E00	1.98E00	0	.37	-	 < 0.01	1.00E00	2.14E00	0	1.04	-	 < 0.01	6.28E-01	1.60E00
neuromuscular junction (GO:0031594)	15	0	.23	-	 < 0.01	1.00E00	2.07E00	0	.13	-	 < 0.01	1.00E00	3.50E00	0	.35	-	 < 0.01	1.00E00	1.50E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	49	0	.76	-	 < 0.01	1.00E00	2.19E00	1	.41	+	2.42	3.43E-01	2.40E00	1	1.16	-	.87	1.00E00	2.00E00
site of double-strand break (GO:0035861)	15	0	.23	-	 < 0.01	1.00E00	2.06E00	0	.13	-	 < 0.01	1.00E00	3.47E00	0	.35	-	 < 0.01	1.00E00	1.49E00
small ribosomal subunit (GO:0015935)	4	0	.06	-	 < 0.01	1.00E00	1.61E00	0	.03	-	 < 0.01	1.00E00	1.34E00	0	.09	-	 < 0.01	1.00E00	1.21E00
core mediator complex (GO:0070847)	29	0	.45	-	 < 0.01	1.00E00	1.17E00	0	.24	-	 < 0.01	1.00E00	1.83E00	0	.68	-	 < 0.01	1.00E00	1.46E00
large ribosomal subunit (GO:0015934)	4	0	.06	-	 < 0.01	1.00E00	1.61E00	1	.03	+	29.65	4.11E-02	2.05E00	0	.09	-	 < 0.01	1.00E00	1.21E00
apical junction complex (GO:0043296)	11	0	.17	-	 < 0.01	1.00E00	2.32E00	0	.09	-	 < 0.01	1.00E00	2.36E00	0	.26	-	 < 0.01	1.00E00	1.33E00
contractile fiber (GO:0043292)	49	0	.76	-	 < 0.01	1.00E00	2.17E00	0	.41	-	 < 0.01	1.00E00	3.80E00	2	1.16	+	1.73	3.29E-01	1.21E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	6	0	.09	-	 < 0.01	1.00E00	2.45E00	0	.05	-	 < 0.01	1.00E00	3.09E00	0	.14	-	 < 0.01	1.00E00	1.82E00
Golgi cisterna (GO:0031985)	8	0	.12	-	 < 0.01	1.00E00	1.51E00	0	.07	-	 < 0.01	1.00E00	1.48E00	0	.19	-	 < 0.01	1.00E00	1.62E00
SCF ubiquitin ligase complex (GO:0019005)	40	0	.62	-	 < 0.01	1.00E00	1.08E00	0	.34	-	 < 0.01	1.00E00	1.30E00	1	.94	+	1.06	6.16E-01	1.60E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	5	0	.08	-	 < 0.01	1.00E00	1.44E00	0	.04	-	 < 0.01	1.00E00	1.70E00	0	.12	-	 < 0.01	1.00E00	1.17E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	92	0	1.44	-	 < 0.01	4.08E-01	1.60E00	0	.78	-	 < 0.01	1.00E00	1.14E00	1	2.17	-	.46	7.27E-01	1.65E00
intrinsic component of plasma membrane (GO:0031226)	2	0	.03	-	 < 0.01	1.00E00	1.13E00	0	.02	-	 < 0.01	1.00E00	1.11E00	0	.05	-	 < 0.01	1.00E00	1.07E00
nuclear speck (GO:0016607)	22	0	.34	-	 < 0.01	1.00E00	1.02E00	0	.19	-	 < 0.01	1.00E00	1.20E00	1	.52	+	1.93	4.15E-01	1.30E00
PML body (GO:0016605)	2	0	.03	-	 < 0.01	1.00E00	1.12E00	0	.02	-	 < 0.01	1.00E00	1.11E00	0	.05	-	 < 0.01	1.00E00	1.07E00
nuclear body (GO:0016604)	34	0	.53	-	 < 0.01	1.00E00	1.04E00	0	.29	-	 < 0.01	1.00E00	1.19E00	1	.80	+	1.25	5.58E-01	1.53E00
trans-Golgi network transport vesicle (GO:0030140)	9	0	.14	-	 < 0.01	1.00E00	1.78E00	0	.08	-	 < 0.01	1.00E00	1.61E00	0	.21	-	 < 0.01	1.00E00	1.58E00
distal axon (GO:0150034)	26	0	.41	-	 < 0.01	1.00E00	1.30E00	0	.22	-	 < 0.01	1.00E00	1.44E00	0	.61	-	 < 0.01	1.00E00	1.52E00
acrosomal vesicle (GO:0001669)	7	0	.11	-	 < 0.01	1.00E00	1.19E00	0	.06	-	 < 0.01	1.00E00	1.23E00	1	.17	+	6.06	1.70E-01	1.25E00
axon terminus (GO:0043679)	21	0	.33	-	 < 0.01	1.00E00	1.00E00	0	.18	-	 < 0.01	1.00E00	1.07E00	0	.50	-	 < 0.01	1.00E00	1.02E00
axoneme (GO:0005930)	41	0	.64	-	 < 0.01	1.00E00	1.35E00	0	.35	-	 < 0.01	1.00E00	1.63E00	0	.97	-	 < 0.01	1.00E00	1.54E00
nuclear chromosome (GO:0000228)	130	0	2.03	-	 < 0.01	2.73E-01	1.30E00	0	1.10	-	 < 0.01	6.31E-01	3.11E00	0	3.07	-	 < 0.01	7.90E-02	9.07E-01
small nuclear ribonucleoprotein complex (GO:0030532)	74	0	1.16	-	 < 0.01	6.32E-01	1.95E00	1	.62	+	1.60	4.68E-01	2.59E00	2	1.75	+	1.15	6.95E-01	1.61E00
sperm flagellum (GO:0036126)	19	0	.30	-	 < 0.01	1.00E00	1.10E00	0	.16	-	 < 0.01	1.00E00	1.17E00	0	.45	-	 < 0.01	1.00E00	1.03E00
endocytic vesicle (GO:0030139)	15	0	.23	-	 < 0.01	1.00E00	2.06E00	0	.13	-	 < 0.01	1.00E00	3.45E00	1	.35	+	2.83	3.11E-01	1.22E00
Sin3-type complex (GO:0070822)	10	0	.16	-	 < 0.01	1.00E00	1.91E00	0	.08	-	 < 0.01	1.00E00	2.06E00	0	.24	-	 < 0.01	1.00E00	1.29E00
COPI-coated vesicle (GO:0030137)	12	0	.19	-	 < 0.01	1.00E00	1.67E00	0	.10	-	 < 0.01	1.00E00	2.52E00	0	.28	-	 < 0.01	1.00E00	1.38E00
midbody (GO:0030496)	6	0	.09	-	 < 0.01	1.00E00	2.43E00	0	.05	-	 < 0.01	1.00E00	3.07E00	0	.14	-	 < 0.01	1.00E00	1.81E00
clathrin-coated vesicle (GO:0030136)	11	0	.17	-	 < 0.01	1.00E00	2.31E00	0	.09	-	 < 0.01	1.00E00	2.35E00	1	.26	+	3.85	2.44E-01	1.30E00
actin-based cell projection (GO:0098858)	15	0	.23	-	 < 0.01	1.00E00	2.05E00	0	.13	-	 < 0.01	1.00E00	3.42E00	0	.35	-	 < 0.01	1.00E00	1.49E00
transport vesicle (GO:0030133)	7	0	.11	-	 < 0.01	1.00E00	1.19E00	0	.06	-	 < 0.01	1.00E00	1.23E00	0	.17	-	 < 0.01	1.00E00	1.13E00
membrane microdomain (GO:0098857)	11	0	.17	-	 < 0.01	1.00E00	2.30E00	0	.09	-	 < 0.01	1.00E00	2.33E00	1	.26	+	3.85	2.44E-01	1.29E00
Lsm2-8 complex (GO:0120115)	29	0	.45	-	 < 0.01	1.00E00	1.17E00	0	.24	-	 < 0.01	1.00E00	1.82E00	0	.68	-	 < 0.01	1.00E00	1.45E00
Sm-like protein family complex (GO:0120114)	30	0	.47	-	 < 0.01	1.00E00	1.22E00	0	.25	-	 < 0.01	1.00E00	2.68E00	0	.71	-	 < 0.01	1.00E00	1.10E00
mitochondrial membrane (GO:0031966)	17	0	.27	-	 < 0.01	1.00E00	1.06E00	0	.14	-	 < 0.01	1.00E00	1.06E00	1	.40	+	2.49	3.43E-01	1.23E00
exocytic vesicle (GO:0070382)	16	0	.25	-	 < 0.01	1.00E00	1.38E00	0	.13	-	 < 0.01	1.00E00	1.29E00	1	.38	+	2.65	3.27E-01	1.23E00
focal adhesion (GO:0005925)	24	0	.37	-	 < 0.01	1.00E00	1.15E00	0	.20	-	 < 0.01	1.00E00	1.15E00	0	.57	-	 < 0.01	1.00E00	1.24E00
Prp19 complex (GO:0000974)	43	0	.67	-	 < 0.01	1.00E00	1.57E00	0	.36	-	 < 0.01	1.00E00	2.59E00	0	1.01	-	 < 0.01	6.27E-01	1.62E00
