




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	qNSCI (Mus musculus )qNSCII (Mus musculus )pNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	qNSCI (177)	qNSCI (expected)	qNSCI (over/under)	qNSCI (fold Enrichment)	qNSCI (raw P-value)	qNSCI (FDR)	qNSCII (337)	qNSCII (expected)	qNSCII (over/under)	qNSCII (fold Enrichment)	qNSCII (raw P-value)	qNSCII (FDR)	pNSC (52)	pNSC (expected)	pNSC (over/under)	pNSC (fold Enrichment)	pNSC (raw P-value)	pNSC (FDR)
supramolecular complex (GO:0099080)	54	0	.43	-	 < 0.01	1.00E00	1.27E00	0	.82	-	 < 0.01	1.00E00	1.78E00	0	.13	-	 < 0.01	1.00E00	6.69E00
supramolecular polymer (GO:0099081)	54	0	.43	-	 < 0.01	1.00E00	1.28E00	0	.82	-	 < 0.01	1.00E00	1.79E00	0	.13	-	 < 0.01	1.00E00	6.79E00
GINS complex (GO:0000811)	21	0	.17	-	 < 0.01	1.00E00	1.28E00	0	.32	-	 < 0.01	1.00E00	1.28E00	0	.05	-	 < 0.01	1.00E00	1.47E00
condensed chromosome (GO:0000793)	21	0	.17	-	 < 0.01	1.00E00	1.28E00	0	.32	-	 < 0.01	1.00E00	1.29E00	0	.05	-	 < 0.01	1.00E00	1.48E00
axon terminus (GO:0043679)	21	0	.17	-	 < 0.01	1.00E00	1.29E00	0	.32	-	 < 0.01	1.00E00	1.29E00	0	.05	-	 < 0.01	1.00E00	1.48E00
DNA replication preinitiation complex (GO:0031261)	21	0	.17	-	 < 0.01	1.00E00	1.29E00	0	.32	-	 < 0.01	1.00E00	1.29E00	0	.05	-	 < 0.01	1.00E00	1.49E00
integral component of mitochondrial inner membrane (GO:0031305)	21	0	.17	-	 < 0.01	1.00E00	1.29E00	1	.32	+	3.15	2.81E-01	1.59E00	0	.05	-	 < 0.01	1.00E00	1.49E00
axonemal dynein complex (GO:0005858)	25	0	.20	-	 < 0.01	1.00E00	1.30E00	0	.38	-	 < 0.01	1.00E00	1.07E00	0	.06	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site (GO:0000407)	23	0	.18	-	 < 0.01	1.00E00	1.30E00	0	.35	-	 < 0.01	1.00E00	1.08E00	0	.05	-	 < 0.01	1.00E00	1.44E00
U1 snRNP (GO:0005685)	23	0	.18	-	 < 0.01	1.00E00	1.31E00	1	.35	+	2.88	3.02E-01	1.65E00	0	.05	-	 < 0.01	1.00E00	1.44E00
U4 snRNP (GO:0005687)	23	0	.18	-	 < 0.01	1.00E00	1.31E00	0	.35	-	 < 0.01	1.00E00	1.09E00	0	.05	-	 < 0.01	1.00E00	1.45E00
protein kinase complex (GO:1902911)	23	0	.18	-	 < 0.01	1.00E00	1.31E00	1	.35	+	2.88	3.02E-01	1.67E00	0	.05	-	 < 0.01	1.00E00	1.45E00
recycling endosome (GO:0055037)	23	0	.18	-	 < 0.01	1.00E00	1.32E00	0	.35	-	 < 0.01	1.00E00	1.09E00	0	.05	-	 < 0.01	1.00E00	1.45E00
transcription elongation factor complex (GO:0008023)	23	0	.18	-	 < 0.01	1.00E00	1.32E00	0	.35	-	 < 0.01	1.00E00	1.09E00	0	.05	-	 < 0.01	1.00E00	1.46E00
presynaptic membrane (GO:0042734)	23	0	.18	-	 < 0.01	1.00E00	1.33E00	0	.35	-	 < 0.01	1.00E00	1.10E00	0	.05	-	 < 0.01	1.00E00	1.46E00
nuclear pre-replicative complex (GO:0005656)	23	0	.18	-	 < 0.01	1.00E00	1.33E00	0	.35	-	 < 0.01	1.00E00	1.10E00	0	.05	-	 < 0.01	1.00E00	1.47E00
condensed nuclear chromosome (GO:0000794)	86	0	.68	-	 < 0.01	1.00E00	1.33E00	0	1.30	-	 < 0.01	6.42E-01	2.25E00	0	.20	-	 < 0.01	1.00E00	4.39E00
small-subunit processome (GO:0032040)	35	0	.28	-	 < 0.01	1.00E00	1.34E00	0	.53	-	 < 0.01	1.00E00	1.04E00	0	.08	-	 < 0.01	1.00E00	1.50E00
SNARE complex (GO:0031201)	35	0	.28	-	 < 0.01	1.00E00	1.34E00	0	.53	-	 < 0.01	1.00E00	1.04E00	0	.08	-	 < 0.01	1.00E00	1.50E00
origin recognition complex (GO:0000808)	28	0	.22	-	 < 0.01	1.00E00	1.35E00	0	.42	-	 < 0.01	1.00E00	1.14E00	0	.07	-	 < 0.01	1.00E00	2.41E00
dendritic spine (GO:0043197)	28	0	.22	-	 < 0.01	1.00E00	1.35E00	0	.42	-	 < 0.01	1.00E00	1.14E00	0	.07	-	 < 0.01	1.00E00	2.42E00
mediator complex (GO:0016592)	28	0	.22	-	 < 0.01	1.00E00	1.35E00	0	.42	-	 < 0.01	1.00E00	1.15E00	0	.07	-	 < 0.01	1.00E00	2.45E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	28	0	.22	-	 < 0.01	1.00E00	1.36E00	0	.42	-	 < 0.01	1.00E00	1.15E00	0	.07	-	 < 0.01	1.00E00	2.46E00
I band (GO:0031674)	28	0	.22	-	 < 0.01	1.00E00	1.36E00	0	.42	-	 < 0.01	1.00E00	1.15E00	0	.07	-	 < 0.01	1.00E00	2.48E00
mitochondrial matrix (GO:0005759)	57	0	.45	-	 < 0.01	1.00E00	1.37E00	0	.86	-	 < 0.01	1.00E00	2.56E00	0	.13	-	 < 0.01	1.00E00	4.77E00
mitotic spindle (GO:0072686)	10	0	.08	-	 < 0.01	1.00E00	1.37E00	0	.15	-	 < 0.01	1.00E00	1.60E00	0	.02	-	 < 0.01	1.00E00	3.20E00
kinetochore (GO:0000776)	10	0	.08	-	 < 0.01	1.00E00	1.37E00	0	.15	-	 < 0.01	1.00E00	1.61E00	0	.02	-	 < 0.01	1.00E00	3.22E00
DNA-directed RNA polymerase I complex (GO:0005736)	10	0	.08	-	 < 0.01	1.00E00	1.38E00	0	.15	-	 < 0.01	1.00E00	1.61E00	0	.02	-	 < 0.01	1.00E00	3.25E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	10	0	.08	-	 < 0.01	1.00E00	1.38E00	0	.15	-	 < 0.01	1.00E00	1.62E00	0	.02	-	 < 0.01	1.00E00	3.27E00
mitochondrial small ribosomal subunit (GO:0005763)	10	0	.08	-	 < 0.01	1.00E00	1.39E00	0	.15	-	 < 0.01	1.00E00	1.62E00	0	.02	-	 < 0.01	1.00E00	3.29E00
nuclear replisome (GO:0043601)	10	0	.08	-	 < 0.01	1.00E00	1.39E00	0	.15	-	 < 0.01	1.00E00	1.63E00	0	.02	-	 < 0.01	1.00E00	3.32E00
SAGA complex (GO:0000124)	10	0	.08	-	 < 0.01	1.00E00	1.40E00	0	.15	-	 < 0.01	1.00E00	1.64E00	0	.02	-	 < 0.01	1.00E00	3.34E00
Golgi stack (GO:0005795)	10	0	.08	-	 < 0.01	1.00E00	1.40E00	0	.15	-	 < 0.01	1.00E00	1.64E00	0	.02	-	 < 0.01	1.00E00	3.37E00
DUBm complex (GO:0071819)	10	0	.08	-	 < 0.01	1.00E00	1.40E00	0	.15	-	 < 0.01	1.00E00	1.65E00	0	.02	-	 < 0.01	1.00E00	3.39E00
non-motile cilium (GO:0097730)	10	0	.08	-	 < 0.01	1.00E00	1.41E00	0	.15	-	 < 0.01	1.00E00	1.65E00	0	.02	-	 < 0.01	1.00E00	3.42E00
mRNA cleavage factor complex (GO:0005849)	10	0	.08	-	 < 0.01	1.00E00	1.41E00	0	.15	-	 < 0.01	1.00E00	1.66E00	0	.02	-	 < 0.01	1.00E00	3.45E00
microvillus (GO:0005902)	10	0	.08	-	 < 0.01	1.00E00	1.42E00	0	.15	-	 < 0.01	1.00E00	1.67E00	0	.02	-	 < 0.01	1.00E00	3.47E00
cytoplasmic microtubule (GO:0005881)	10	0	.08	-	 < 0.01	1.00E00	1.42E00	0	.15	-	 < 0.01	1.00E00	1.67E00	0	.02	-	 < 0.01	1.00E00	3.53E00
nuclear membrane (GO:0031965)	10	0	.08	-	 < 0.01	1.00E00	1.43E00	1	.15	+	6.62	1.52E-01	1.34E00	0	.02	-	 < 0.01	1.00E00	3.56E00
Sin3-type complex (GO:0070822)	10	0	.08	-	 < 0.01	1.00E00	1.43E00	0	.15	-	 < 0.01	1.00E00	1.68E00	0	.02	-	 < 0.01	1.00E00	3.58E00
ER membrane protein complex (GO:0072546)	10	0	.08	-	 < 0.01	1.00E00	1.44E00	0	.15	-	 < 0.01	1.00E00	1.68E00	0	.02	-	 < 0.01	1.00E00	3.61E00
nuclear periphery (GO:0034399)	10	0	.08	-	 < 0.01	1.00E00	1.44E00	0	.15	-	 < 0.01	1.00E00	1.69E00	0	.02	-	 < 0.01	1.00E00	3.64E00
extracellular space (GO:0005615)	1196	14	9.49	+	1.47	1.32E-01	1.44E00	24	18.08	+	1.33	1.79E-01	1.36E00	10	2.79	+	3.59	4.01E-04	5.99E-02
integral component of mitochondrial outer membrane (GO:0031307)	10	0	.08	-	 < 0.01	1.00E00	1.45E00	0	.15	-	 < 0.01	1.00E00	1.70E00	0	.02	-	 < 0.01	1.00E00	3.67E00
exon-exon junction complex (GO:0035145)	10	0	.08	-	 < 0.01	1.00E00	1.45E00	0	.15	-	 < 0.01	1.00E00	1.70E00	0	.02	-	 < 0.01	1.00E00	3.70E00
replication fork (GO:0005657)	10	0	.08	-	 < 0.01	1.00E00	1.45E00	0	.15	-	 < 0.01	1.00E00	1.71E00	0	.02	-	 < 0.01	1.00E00	3.73E00
mitochondrial envelope (GO:0005740)	31	0	.25	-	 < 0.01	1.00E00	1.46E00	0	.47	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	2.16E00
sarcolemma (GO:0042383)	20	0	.16	-	 < 0.01	1.00E00	1.46E00	0	.30	-	 < 0.01	1.00E00	1.50E00	1	.05	+	21.44	4.78E-02	1.95E00
mitochondrial respiratory chain complex I (GO:0005747)	20	0	.16	-	 < 0.01	1.00E00	1.47E00	0	.30	-	 < 0.01	1.00E00	1.51E00	0	.05	-	 < 0.01	1.00E00	1.74E00
chromosomal region (GO:0098687)	20	0	.16	-	 < 0.01	1.00E00	1.47E00	0	.30	-	 < 0.01	1.00E00	1.51E00	0	.05	-	 < 0.01	1.00E00	1.74E00
perinuclear region of cytoplasm (GO:0048471)	20	0	.16	-	 < 0.01	1.00E00	1.48E00	0	.30	-	 < 0.01	1.00E00	1.52E00	0	.05	-	 < 0.01	1.00E00	1.75E00
proteasome regulatory particle (GO:0005838)	20	0	.16	-	 < 0.01	1.00E00	1.48E00	0	.30	-	 < 0.01	1.00E00	1.52E00	0	.05	-	 < 0.01	1.00E00	1.76E00
proteasome core complex (GO:0005839)	20	0	.16	-	 < 0.01	1.00E00	1.49E00	0	.30	-	 < 0.01	1.00E00	1.53E00	0	.05	-	 < 0.01	1.00E00	1.76E00
nuclear chromosome, telomeric region (GO:0000784)	18	1	.14	+	7.00	1.40E-01	1.49E00	0	.27	-	 < 0.01	1.00E00	1.08E00	0	.04	-	 < 0.01	1.00E00	2.00E00
proteasome accessory complex (GO:0022624)	20	0	.16	-	 < 0.01	1.00E00	1.49E00	0	.30	-	 < 0.01	1.00E00	1.53E00	0	.05	-	 < 0.01	1.00E00	1.77E00
nuclear replication fork (GO:0043596)	20	0	.16	-	 < 0.01	1.00E00	1.50E00	0	.30	-	 < 0.01	1.00E00	1.54E00	0	.05	-	 < 0.01	1.00E00	1.78E00
axonemal central apparatus (GO:1990716)	20	0	.16	-	 < 0.01	1.00E00	1.50E00	0	.30	-	 < 0.01	1.00E00	1.54E00	0	.05	-	 < 0.01	1.00E00	1.78E00
CMG complex (GO:0071162)	20	0	.16	-	 < 0.01	1.00E00	1.51E00	0	.30	-	 < 0.01	1.00E00	1.55E00	0	.05	-	 < 0.01	1.00E00	1.79E00
axoneme part (GO:0044447)	20	0	.16	-	 < 0.01	1.00E00	1.51E00	0	.30	-	 < 0.01	1.00E00	1.56E00	0	.05	-	 < 0.01	1.00E00	1.80E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	41	0	.33	-	 < 0.01	1.00E00	1.52E00	1	.62	+	1.61	4.68E-01	2.03E00	0	.10	-	 < 0.01	1.00E00	1.52E00
axoneme (GO:0005930)	41	0	.33	-	 < 0.01	1.00E00	1.52E00	0	.62	-	 < 0.01	1.00E00	1.48E00	0	.10	-	 < 0.01	1.00E00	1.52E00
basolateral plasma membrane (GO:0016323)	19	1	.15	+	6.63	1.46E-01	1.52E00	1	.29	+	3.48	2.59E-01	1.59E00	0	.04	-	 < 0.01	1.00E00	1.73E00
apical part of cell (GO:0045177)	30	0	.24	-	 < 0.01	1.00E00	1.53E00	0	.45	-	 < 0.01	1.00E00	1.03E00	0	.07	-	 < 0.01	1.00E00	1.24E00
U2-type spliceosomal complex (GO:0005684)	30	0	.24	-	 < 0.01	1.00E00	1.53E00	0	.45	-	 < 0.01	1.00E00	1.03E00	0	.07	-	 < 0.01	1.00E00	1.25E00
mitochondrial ribosome (GO:0005761)	30	0	.24	-	 < 0.01	1.00E00	1.54E00	0	.45	-	 < 0.01	1.00E00	1.03E00	0	.07	-	 < 0.01	1.00E00	1.25E00
vacuolar membrane (GO:0005774)	30	0	.24	-	 < 0.01	1.00E00	1.54E00	0	.45	-	 < 0.01	1.00E00	1.03E00	0	.07	-	 < 0.01	1.00E00	1.25E00
Sm-like protein family complex (GO:0120114)	30	0	.24	-	 < 0.01	1.00E00	1.55E00	0	.45	-	 < 0.01	1.00E00	1.03E00	0	.07	-	 < 0.01	1.00E00	1.26E00
nucleolar part (GO:0044452)	59	0	.47	-	 < 0.01	1.00E00	1.56E00	0	.89	-	 < 0.01	1.00E00	1.59E00	0	.14	-	 < 0.01	1.00E00	5.53E00
cytoplasmic side of plasma membrane (GO:0009898)	55	0	.44	-	 < 0.01	1.00E00	1.56E00	1	.83	+	1.20	5.69E-01	2.20E00	1	.13	+	7.80	1.22E-01	3.23E00
vesicle membrane (GO:0012506)	3	0	.02	-	 < 0.01	1.00E00	1.57E00	0	.05	-	 < 0.01	1.00E00	2.84E00	0	.01	-	 < 0.01	1.00E00	2.20E00
intercalated disc (GO:0014704)	3	0	.02	-	 < 0.01	1.00E00	1.57E00	0	.05	-	 < 0.01	1.00E00	2.85E00	0	.01	-	 < 0.01	1.00E00	2.21E00
plasma membrane respiratory chain complex I (GO:0045272)	3	0	.02	-	 < 0.01	1.00E00	1.58E00	0	.05	-	 < 0.01	1.00E00	2.87E00	0	.01	-	 < 0.01	1.00E00	2.22E00
respiratory chain complex II (GO:0045273)	3	0	.02	-	 < 0.01	1.00E00	1.58E00	0	.05	-	 < 0.01	1.00E00	2.89E00	0	.01	-	 < 0.01	1.00E00	2.23E00
mannosyltransferase complex (GO:0031501)	3	0	.02	-	 < 0.01	1.00E00	1.59E00	0	.05	-	 < 0.01	1.00E00	2.91E00	0	.01	-	 < 0.01	1.00E00	2.24E00
actomyosin contractile ring (GO:0005826)	3	0	.02	-	 < 0.01	1.00E00	1.59E00	0	.05	-	 < 0.01	1.00E00	2.93E00	0	.01	-	 < 0.01	1.00E00	2.25E00
respiratory chain complex (GO:0098803)	3	0	.02	-	 < 0.01	1.00E00	1.60E00	0	.05	-	 < 0.01	1.00E00	2.95E00	0	.01	-	 < 0.01	1.00E00	2.26E00
retromer complex (GO:0030904)	3	0	.02	-	 < 0.01	1.00E00	1.61E00	0	.05	-	 < 0.01	1.00E00	2.97E00	0	.01	-	 < 0.01	1.00E00	2.27E00
respiratory chain (GO:0070469)	3	0	.02	-	 < 0.01	1.00E00	1.61E00	0	.05	-	 < 0.01	1.00E00	2.99E00	0	.01	-	 < 0.01	1.00E00	2.29E00
collagen type IV trimer (GO:0005587)	3	0	.02	-	 < 0.01	1.00E00	1.62E00	0	.05	-	 < 0.01	1.00E00	3.01E00	0	.01	-	 < 0.01	1.00E00	2.30E00
transport vesicle membrane (GO:0030658)	3	0	.02	-	 < 0.01	1.00E00	1.62E00	0	.05	-	 < 0.01	1.00E00	3.03E00	0	.01	-	 < 0.01	1.00E00	2.31E00
mitochondrial respiratory chain (GO:0005746)	36	0	.29	-	 < 0.01	1.00E00	1.63E00	0	.54	-	 < 0.01	1.00E00	1.58E00	0	.08	-	 < 0.01	1.00E00	1.42E00
adherens junction (GO:0005912)	36	0	.29	-	 < 0.01	1.00E00	1.64E00	1	.54	+	1.84	4.26E-01	1.95E00	0	.08	-	 < 0.01	1.00E00	1.43E00
anchoring junction (GO:0070161)	36	0	.29	-	 < 0.01	1.00E00	1.64E00	1	.54	+	1.84	4.26E-01	1.97E00	0	.08	-	 < 0.01	1.00E00	1.43E00
extrinsic component of plasma membrane (GO:0019897)	27	0	.21	-	 < 0.01	1.00E00	1.65E00	0	.41	-	 < 0.01	1.00E00	1.01E00	0	.06	-	 < 0.01	1.00E00	1.10E00
early endosome (GO:0005769)	27	0	.21	-	 < 0.01	1.00E00	1.65E00	0	.41	-	 < 0.01	1.00E00	1.01E00	0	.06	-	 < 0.01	1.00E00	1.10E00
Z disc (GO:0030018)	27	0	.21	-	 < 0.01	1.00E00	1.66E00	0	.41	-	 < 0.01	1.00E00	1.02E00	0	.06	-	 < 0.01	1.00E00	1.10E00
ciliary basal body (GO:0036064)	27	0	.21	-	 < 0.01	1.00E00	1.67E00	0	.41	-	 < 0.01	1.00E00	1.02E00	0	.06	-	 < 0.01	1.00E00	1.11E00
nuclear part (GO:0044428)	853	3	6.77	-	.44	1.67E-01	1.67E00	3	12.89	-	.23	2.16E-03	8.07E-02	0	1.99	-	 < 0.01	2.68E-01	5.01E00
U2 snRNP (GO:0005686)	34	0	.27	-	 < 0.01	1.00E00	1.67E00	0	.51	-	 < 0.01	1.00E00	1.10E00	0	.08	-	 < 0.01	1.00E00	1.19E00
90S preribosome (GO:0030686)	34	0	.27	-	 < 0.01	1.00E00	1.68E00	0	.51	-	 < 0.01	1.00E00	1.10E00	0	.08	-	 < 0.01	1.00E00	1.20E00
cell division site (GO:0032153)	34	0	.27	-	 < 0.01	1.00E00	1.68E00	0	.51	-	 < 0.01	1.00E00	1.11E00	0	.08	-	 < 0.01	1.00E00	1.20E00
cell cortex part (GO:0044448)	34	0	.27	-	 < 0.01	1.00E00	1.69E00	0	.51	-	 < 0.01	1.00E00	1.11E00	0	.08	-	 < 0.01	1.00E00	1.21E00
nuclear speck (GO:0016607)	22	1	.17	+	5.73	1.66E-01	1.69E00	0	.33	-	 < 0.01	1.00E00	1.02E00	0	.05	-	 < 0.01	1.00E00	1.21E00
chromosome, telomeric region (GO:0000781)	4	0	.03	-	 < 0.01	1.00E00	1.70E00	0	.06	-	 < 0.01	1.00E00	1.44E00	0	.01	-	 < 0.01	1.00E00	2.97E00
heterochromatin (GO:0000792)	4	0	.03	-	 < 0.01	1.00E00	1.70E00	0	.06	-	 < 0.01	1.00E00	1.44E00	0	.01	-	 < 0.01	1.00E00	2.99E00
respiratory chain complex IV (GO:0045277)	4	0	.03	-	 < 0.01	1.00E00	1.71E00	0	.06	-	 < 0.01	1.00E00	1.45E00	0	.01	-	 < 0.01	1.00E00	3.01E00
endoplasmic reticulum tubular network (GO:0071782)	4	0	.03	-	 < 0.01	1.00E00	1.72E00	0	.06	-	 < 0.01	1.00E00	1.45E00	0	.01	-	 < 0.01	1.00E00	3.03E00
oligosaccharyltransferase complex (GO:0008250)	4	0	.03	-	 < 0.01	1.00E00	1.72E00	0	.06	-	 < 0.01	1.00E00	1.45E00	0	.01	-	 < 0.01	1.00E00	3.05E00
large ribosomal subunit (GO:0015934)	4	0	.03	-	 < 0.01	1.00E00	1.73E00	0	.06	-	 < 0.01	1.00E00	1.46E00	0	.01	-	 < 0.01	1.00E00	3.07E00
cation channel complex (GO:0034703)	95	2	.75	+	2.65	1.78E-01	1.73E00	3	1.44	+	2.09	1.80E-01	1.34E00	0	.22	-	 < 0.01	1.00E00	2.37E00
small ribosomal subunit (GO:0015935)	4	0	.03	-	 < 0.01	1.00E00	1.74E00	0	.06	-	 < 0.01	1.00E00	1.46E00	0	.01	-	 < 0.01	1.00E00	3.09E00
stress fiber (GO:0001725)	4	0	.03	-	 < 0.01	1.00E00	1.74E00	0	.06	-	 < 0.01	1.00E00	1.47E00	0	.01	-	 < 0.01	1.00E00	3.11E00
cytochrome complex (GO:0070069)	4	0	.03	-	 < 0.01	1.00E00	1.75E00	0	.06	-	 < 0.01	1.00E00	1.47E00	0	.01	-	 < 0.01	1.00E00	3.13E00
filopodium (GO:0030175)	4	0	.03	-	 < 0.01	1.00E00	1.76E00	0	.06	-	 < 0.01	1.00E00	1.48E00	0	.01	-	 < 0.01	1.00E00	3.15E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	24	0	.19	-	 < 0.01	1.00E00	1.76E00	1	.36	+	2.76	3.13E-01	1.65E00	0	.06	-	 < 0.01	1.00E00	1.32E00
MCM complex (GO:0042555)	24	0	.19	-	 < 0.01	1.00E00	1.77E00	0	.36	-	 < 0.01	1.00E00	1.31E00	0	.06	-	 < 0.01	1.00E00	1.32E00
cytoplasmic vesicle part (GO:0044433)	25	1	.20	+	5.04	1.86E-01	1.77E00	1	.38	+	2.65	3.23E-01	1.66E00	0	.06	-	 < 0.01	1.00E00	1.00E00
MCM core complex (GO:0097373)	24	0	.19	-	 < 0.01	1.00E00	1.78E00	0	.36	-	 < 0.01	1.00E00	1.31E00	0	.06	-	 < 0.01	1.00E00	1.33E00
cortical actin cytoskeleton (GO:0030864)	27	1	.21	+	4.67	1.99E-01	1.78E00	0	.41	-	 < 0.01	1.00E00	1.02E00	0	.06	-	 < 0.01	1.00E00	1.11E00
focal adhesion (GO:0005925)	24	0	.19	-	 < 0.01	1.00E00	1.78E00	1	.36	+	2.76	3.13E-01	1.67E00	0	.06	-	 < 0.01	1.00E00	1.33E00
outer dynein arm (GO:0036157)	24	0	.19	-	 < 0.01	1.00E00	1.79E00	0	.36	-	 < 0.01	1.00E00	1.31E00	0	.06	-	 < 0.01	1.00E00	1.33E00
plasma membrane protein complex (GO:0098797)	210	3	1.67	+	1.80	2.36E-01	1.79E00	4	3.17	+	1.26	5.64E-01	2.20E00	1	.49	+	2.04	3.90E-01	5.82E00
endoplasmic reticulum part (GO:0044432)	24	0	.19	-	 < 0.01	1.00E00	1.80E00	0	.36	-	 < 0.01	1.00E00	1.32E00	0	.06	-	 < 0.01	1.00E00	1.34E00
phosphatidylinositol 3-kinase complex (GO:0005942)	28	1	.22	+	4.50	2.05E-01	1.80E00	0	.42	-	 < 0.01	1.00E00	1.15E00	0	.07	-	 < 0.01	1.00E00	2.43E00
Golgi apparatus (GO:0005794)	191	3	1.52	+	1.98	1.97E-01	1.80E00	6	2.89	+	2.08	7.50E-02	9.60E-01	2	.45	+	4.49	7.43E-02	2.77E00
nuclear body (GO:0016604)	34	1	.27	+	3.70	2.42E-01	1.81E00	0	.51	-	 < 0.01	1.00E00	1.11E00	0	.08	-	 < 0.01	1.00E00	1.20E00
plasma membrane bounded cell projection (GO:0120025)	37	0	.29	-	 < 0.01	1.00E00	1.81E00	1	.56	+	1.79	4.35E-01	1.95E00	0	.09	-	 < 0.01	1.00E00	2.05E00
synaptic vesicle (GO:0008021)	68	0	.54	-	 < 0.01	1.00E00	1.81E00	0	1.03	-	 < 0.01	6.29E-01	2.27E00	0	.16	-	 < 0.01	1.00E00	8.15E00
transcription factor complex (GO:0005667)	60	0	.48	-	 < 0.01	1.00E00	1.82E00	0	.91	-	 < 0.01	1.00E00	2.57E00	0	.14	-	 < 0.01	1.00E00	4.62E00
collagen-containing extracellular matrix (GO:0062023)	33	1	.26	+	3.82	2.36E-01	1.82E00	1	.50	+	2.00	4.00E-01	1.93E00	1	.08	+	12.99	7.62E-02	2.63E00
organelle (GO:0043226)	3882	24	30.82	-	.78	1.96E-01	1.83E00	53	58.68	-	.90	4.69E-01	2.02E00	7	9.05	-	.77	5.83E-01	7.06E00
chromosome, centromeric region (GO:0000775)	16	0	.13	-	 < 0.01	1.00E00	1.83E00	0	.24	-	 < 0.01	1.00E00	1.20E00	0	.04	-	 < 0.01	1.00E00	1.14E00
presynaptic active zone (GO:0048786)	16	0	.13	-	 < 0.01	1.00E00	1.84E00	0	.24	-	 < 0.01	1.00E00	1.21E00	0	.04	-	 < 0.01	1.00E00	1.14E00
peroxisome (GO:0005777)	32	1	.25	+	3.94	2.30E-01	1.84E00	0	.48	-	 < 0.01	1.00E00	1.80E00	0	.07	-	 < 0.01	1.00E00	1.61E00
ion channel complex (GO:0034702)	109	2	.87	+	2.31	2.18E-01	1.84E00	3	1.65	+	1.82	2.33E-01	1.49E00	0	.25	-	 < 0.01	1.00E00	1.81E00
peroxisomal membrane (GO:0005778)	16	0	.13	-	 < 0.01	1.00E00	1.84E00	0	.24	-	 < 0.01	1.00E00	1.21E00	0	.04	-	 < 0.01	1.00E00	1.14E00
terminal bouton (GO:0043195)	16	0	.13	-	 < 0.01	1.00E00	1.85E00	0	.24	-	 < 0.01	1.00E00	1.21E00	0	.04	-	 < 0.01	1.00E00	1.15E00
late endosome (GO:0005770)	33	1	.26	+	3.82	2.36E-01	1.85E00	1	.50	+	2.00	4.00E-01	1.95E00	0	.08	-	 < 0.01	1.00E00	1.41E00
ionotropic glutamate receptor complex (GO:0008328)	31	1	.25	+	4.06	2.24E-01	1.86E00	2	.47	+	4.27	8.63E-02	9.92E-01	0	.07	-	 < 0.01	1.00E00	2.17E00
secretory vesicle (GO:0099503)	16	0	.13	-	 < 0.01	1.00E00	1.86E00	0	.24	-	 < 0.01	1.00E00	1.22E00	0	.04	-	 < 0.01	1.00E00	1.15E00
DNA polymerase complex (GO:0042575)	16	0	.13	-	 < 0.01	1.00E00	1.87E00	0	.24	-	 < 0.01	1.00E00	1.22E00	0	.04	-	 < 0.01	1.00E00	1.15E00
microbody (GO:0042579)	32	1	.25	+	3.94	2.30E-01	1.87E00	0	.48	-	 < 0.01	1.00E00	1.83E00	0	.07	-	 < 0.01	1.00E00	1.63E00
whole membrane (GO:0098805)	30	1	.24	+	4.20	2.18E-01	1.87E00	2	.45	+	4.41	8.19E-02	1.02E00	0	.07	-	 < 0.01	1.00E00	1.26E00
exocytic vesicle (GO:0070382)	16	0	.13	-	 < 0.01	1.00E00	1.87E00	0	.24	-	 < 0.01	1.00E00	1.22E00	0	.04	-	 < 0.01	1.00E00	1.15E00
ciliary transition zone (GO:0035869)	16	0	.13	-	 < 0.01	1.00E00	1.88E00	0	.24	-	 < 0.01	1.00E00	1.23E00	0	.04	-	 < 0.01	1.00E00	1.16E00
DNA-directed RNA polymerase III complex (GO:0005666)	16	0	.13	-	 < 0.01	1.00E00	1.89E00	0	.24	-	 < 0.01	1.00E00	1.23E00	0	.04	-	 < 0.01	1.00E00	1.16E00
condensed nuclear chromosome, centromeric region (GO:0000780)	13	0	.10	-	 < 0.01	1.00E00	1.90E00	0	.20	-	 < 0.01	1.00E00	1.72E00	0	.03	-	 < 0.01	1.00E00	1.11E00
histone deacetylase complex (GO:0000118)	13	0	.10	-	 < 0.01	1.00E00	1.91E00	0	.20	-	 < 0.01	1.00E00	1.73E00	0	.03	-	 < 0.01	1.00E00	1.11E00
cell leading edge (GO:0031252)	37	1	.29	+	3.40	2.60E-01	1.91E00	2	.56	+	3.58	1.14E-01	1.17E00	0	.09	-	 < 0.01	1.00E00	2.06E00
U2-type prespliceosome (GO:0071004)	13	0	.10	-	 < 0.01	1.00E00	1.91E00	0	.20	-	 < 0.01	1.00E00	1.74E00	0	.03	-	 < 0.01	1.00E00	1.12E00
