




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	MOL (Mus musculus )OPC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	MOL (491)	MOL (expected)	MOL (over/under)	MOL (fold Enrichment)	MOL (raw P-value)	MOL (FDR)	OPC (556)	OPC (expected)	OPC (over/under)	OPC (fold Enrichment)	OPC (raw P-value)	OPC (FDR)
plasma membrane bounded cell projection cytoplasm (GO:0032838)	52	1	1.15	-	.87	1.00E00	2.17E00	1	1.30	-	.77	1.00E00	1.91E00
extrinsic component of plasma membrane (GO:0019897)	27	1	.59	+	1.68	4.57E-01	1.27E00	1	.67	+	1.49	4.98E-01	1.40E00
actin filament bundle (GO:0032432)	19	1	.42	+	2.39	3.53E-01	1.15E00	0	.47	-	 < 0.01	1.00E00	1.24E00
synapse (GO:0045202)	19	1	.42	+	2.39	3.53E-01	1.14E00	1	.47	+	2.11	3.89E-01	1.22E00
transcription factor TFIID complex (GO:0005669)	17	0	.37	-	 < 0.01	1.00E00	1.05E00	0	.42	-	 < 0.01	1.00E00	1.11E00
DNA-directed RNA polymerase III complex (GO:0005666)	16	0	.35	-	 < 0.01	1.00E00	1.18E00	0	.40	-	 < 0.01	1.00E00	1.97E00
DNA-directed RNA polymerase II, core complex (GO:0005665)	7	0	.15	-	 < 0.01	1.00E00	1.11E00	0	.17	-	 < 0.01	1.00E00	1.23E00
coated vesicle membrane (GO:0030662)	8	0	.18	-	 < 0.01	1.00E00	1.72E00	2	.20	+	10.03	2.34E-02	1.84E-01
nuclear origin of replication recognition complex (GO:0005664)	6	0	.13	-	 < 0.01	1.00E00	1.45E00	0	.15	-	 < 0.01	1.00E00	1.46E00
Golgi-associated vesicle membrane (GO:0030660)	7	0	.15	-	 < 0.01	1.00E00	1.11E00	0	.17	-	 < 0.01	1.00E00	1.23E00
DNA replication factor A complex (GO:0005662)	6	0	.13	-	 < 0.01	1.00E00	1.45E00	0	.15	-	 < 0.01	1.00E00	1.46E00
transporter complex (GO:1990351)	5	0	.11	-	 < 0.01	1.00E00	1.28E00	0	.12	-	 < 0.01	1.00E00	1.40E00
membrane region (GO:0098589)	13	0	.29	-	 < 0.01	1.00E00	1.64E00	0	.32	-	 < 0.01	1.00E00	1.58E00
ciliary base (GO:0097546)	6	0	.13	-	 < 0.01	1.00E00	1.44E00	0	.15	-	 < 0.01	1.00E00	1.45E00
cytoplasmic vesicle membrane (GO:0030659)	13	0	.29	-	 < 0.01	1.00E00	1.63E00	1	.32	+	3.08	2.92E-01	1.07E00
transport vesicle membrane (GO:0030658)	3	0	.07	-	 < 0.01	1.00E00	1.34E00	0	.07	-	 < 0.01	1.00E00	1.09E00
replication fork (GO:0005657)	10	0	.22	-	 < 0.01	1.00E00	1.97E00	0	.25	-	 < 0.01	1.00E00	1.78E00
nuclear pre-replicative complex (GO:0005656)	23	0	.51	-	 < 0.01	1.00E00	1.17E00	0	.57	-	 < 0.01	1.00E00	1.14E00
THO complex (GO:0000347)	6	0	.13	-	 < 0.01	1.00E00	1.44E00	0	.15	-	 < 0.01	1.00E00	1.45E00
replication fork protection complex (GO:0031298)	9	0	.20	-	 < 0.01	1.00E00	1.48E00	0	.22	-	 < 0.01	1.00E00	1.53E00
transcription export complex (GO:0000346)	8	0	.18	-	 < 0.01	1.00E00	1.71E00	1	.20	+	5.01	1.99E-01	8.91E-01
ciliary transition fiber (GO:0097539)	6	0	.13	-	 < 0.01	1.00E00	1.43E00	0	.15	-	 < 0.01	1.00E00	1.45E00
intrinsic component of mitochondrial membrane (GO:0098573)	2	0	.04	-	 < 0.01	1.00E00	1.60E00	0	.05	-	 < 0.01	1.00E00	1.05E00
nuclear pore (GO:0005643)	49	0	1.08	-	 < 0.01	6.29E-01	1.56E00	1	1.22	-	.82	1.00E00	1.98E00
mitochondrial membrane part (GO:0044455)	8	0	.18	-	 < 0.01	1.00E00	1.70E00	0	.20	-	 < 0.01	1.00E00	1.88E00
spliceosomal snRNP complex (GO:0097525)	73	0	1.61	-	 < 0.01	4.12E-01	1.21E00	1	1.82	-	.55	1.00E00	2.21E00
nuclear chromosome part (GO:0044454)	52	0	1.15	-	 < 0.01	6.31E-01	1.54E00	0	1.30	-	 < 0.01	6.39E-01	1.55E00
cytoplasmic side of membrane (GO:0098562)	5	0	.11	-	 < 0.01	1.00E00	1.27E00	0	.12	-	 < 0.01	1.00E00	1.40E00
nucleolar part (GO:0044452)	59	0	1.30	-	 < 0.01	6.40E-01	1.53E00	0	1.47	-	 < 0.01	4.07E-01	1.24E00
I band (GO:0031674)	28	0	.62	-	 < 0.01	1.00E00	1.74E00	0	.70	-	 < 0.01	1.00E00	1.66E00
A band (GO:0031672)	8	0	.18	-	 < 0.01	1.00E00	1.70E00	0	.20	-	 < 0.01	1.00E00	1.87E00
exon-exon junction complex (GO:0035145)	10	0	.22	-	 < 0.01	1.00E00	1.96E00	0	.25	-	 < 0.01	1.00E00	1.77E00
BBSome (GO:0034464)	7	0	.15	-	 < 0.01	1.00E00	1.10E00	0	.17	-	 < 0.01	1.00E00	1.22E00
contractile fiber part (GO:0044449)	1	0	.02	-	 < 0.01	1.00E00	1.13E00	0	.02	-	 < 0.01	1.00E00	1.03E00
axoneme part (GO:0044447)	20	0	.44	-	 < 0.01	1.00E00	1.53E00	1	.50	+	2.01	4.04E-01	1.26E00
CMG complex (GO:0071162)	20	0	.44	-	 < 0.01	1.00E00	1.52E00	0	.50	-	 < 0.01	1.00E00	1.01E00
axonemal central apparatus (GO:1990716)	20	0	.44	-	 < 0.01	1.00E00	1.52E00	1	.50	+	2.01	4.04E-01	1.25E00
intracellular organelle part (GO:0044446)	2	0	.04	-	 < 0.01	1.00E00	1.59E00	1	.05	+	20.05	7.12E-02	4.31E-01
side of membrane (GO:0098552)	5	0	.11	-	 < 0.01	1.00E00	1.27E00	0	.12	-	 < 0.01	1.00E00	1.39E00
spindle midzone (GO:0051233)	11	0	.24	-	 < 0.01	1.00E00	1.84E00	0	.27	-	 < 0.01	1.00E00	2.09E00
membrane raft (GO:0045121)	11	0	.24	-	 < 0.01	1.00E00	1.84E00	0	.27	-	 < 0.01	1.00E00	2.08E00
ciliary part (GO:0044441)	40	0	.88	-	 < 0.01	1.00E00	1.35E00	0	1.00	-	 < 0.01	1.00E00	1.27E00
photoreceptor outer segment (GO:0001750)	7	0	.15	-	 < 0.01	1.00E00	1.10E00	0	.17	-	 < 0.01	1.00E00	1.22E00
transcription elongation factor complex (GO:0008023)	23	0	.51	-	 < 0.01	1.00E00	1.16E00	0	.57	-	 < 0.01	1.00E00	1.14E00
integral component of organelle membrane (GO:0031301)	17	0	.37	-	 < 0.01	1.00E00	1.05E00	0	.42	-	 < 0.01	1.00E00	1.10E00
intrinsic component of organelle membrane (GO:0031300)	2	0	.04	-	 < 0.01	1.00E00	1.59E00	0	.05	-	 < 0.01	1.00E00	1.05E00
collagen type IV trimer (GO:0005587)	3	0	.07	-	 < 0.01	1.00E00	1.34E00	0	.07	-	 < 0.01	1.00E00	1.08E00
DNA replication preinitiation complex (GO:0031261)	21	0	.46	-	 < 0.01	1.00E00	1.06E00	0	.52	-	 < 0.01	1.00E00	1.15E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	6	0	.13	-	 < 0.01	1.00E00	1.43E00	0	.15	-	 < 0.01	1.00E00	1.44E00
collagen trimer (GO:0005581)	12	0	.26	-	 < 0.01	1.00E00	1.30E00	0	.30	-	 < 0.01	1.00E00	1.63E00
t-UTP complex (GO:0034455)	50	0	1.10	-	 < 0.01	6.29E-01	1.56E00	0	1.25	-	 < 0.01	6.36E-01	1.56E00
histone methyltransferase complex (GO:0035097)	44	0	.97	-	 < 0.01	1.00E00	1.21E00	1	1.10	-	.91	1.00E00	2.11E00
nuclear transcription factor complex (GO:0044798)	74	0	1.63	-	 < 0.01	4.13E-01	1.21E00	0	1.85	-	 < 0.01	2.67E-01	1.06E00
sarcoplasmic reticulum membrane (GO:0033017)	6	0	.13	-	 < 0.01	1.00E00	1.42E00	0	.15	-	 < 0.01	1.00E00	1.44E00
cytoplasmic vesicle part (GO:0044433)	25	0	.55	-	 < 0.01	1.00E00	1.13E00	1	.62	+	1.60	4.73E-01	1.36E00
endoplasmic reticulum part (GO:0044432)	24	0	.53	-	 < 0.01	1.00E00	1.37E00	1	.60	+	1.67	4.60E-01	1.35E00
Golgi apparatus part (GO:0044431)	14	0	.31	-	 < 0.01	1.00E00	1.54E00	0	.35	-	 < 0.01	1.00E00	1.17E00
cell wall (GO:0005618)	1	0	.02	-	 < 0.01	1.00E00	1.13E00	0	.02	-	 < 0.01	1.00E00	1.03E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	28	0	.62	-	 < 0.01	1.00E00	1.74E00	1	.70	+	1.43	5.11E-01	1.42E00
leading edge membrane (GO:0031256)	19	0	.42	-	 < 0.01	1.00E00	1.20E00	0	.47	-	 < 0.01	1.00E00	1.24E00
ribosomal subunit (GO:0044391)	8	0	.18	-	 < 0.01	1.00E00	1.69E00	0	.20	-	 < 0.01	1.00E00	1.87E00
cell projection membrane (GO:0031253)	26	0	.57	-	 < 0.01	1.00E00	1.39E00	0	.65	-	 < 0.01	1.00E00	1.49E00
cell leading edge (GO:0031252)	37	0	.81	-	 < 0.01	1.00E00	1.15E00	2	.92	+	2.17	2.45E-01	9.99E-01
respiratory chain (GO:0070469)	3	0	.07	-	 < 0.01	1.00E00	1.33E00	0	.07	-	 < 0.01	1.00E00	1.08E00
filopodium (GO:0030175)	4	0	.09	-	 < 0.01	1.00E00	2.07E00	0	.10	-	 < 0.01	1.00E00	1.31E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	19	0	.42	-	 < 0.01	1.00E00	1.20E00	0	.47	-	 < 0.01	1.00E00	1.24E00
SAGA-type complex (GO:0070461)	11	0	.24	-	 < 0.01	1.00E00	1.83E00	0	.27	-	 < 0.01	1.00E00	2.07E00
cytochrome complex (GO:0070069)	4	0	.09	-	 < 0.01	1.00E00	2.06E00	0	.10	-	 < 0.01	1.00E00	1.30E00
NADH dehydrogenase complex (GO:0030964)	2	0	.04	-	 < 0.01	1.00E00	1.58E00	0	.05	-	 < 0.01	1.00E00	1.05E00
basement membrane (GO:0005604)	5	0	.11	-	 < 0.01	1.00E00	1.27E00	0	.12	-	 < 0.01	1.00E00	1.39E00
protein acetyltransferase complex (GO:0031248)	8	0	.18	-	 < 0.01	1.00E00	1.68E00	0	.20	-	 < 0.01	1.00E00	1.86E00
outer dynein arm (GO:0036157)	24	0	.53	-	 < 0.01	1.00E00	1.37E00	1	.60	+	1.67	4.60E-01	1.34E00
inner dynein arm (GO:0036156)	19	0	.42	-	 < 0.01	1.00E00	1.20E00	1	.47	+	2.11	3.89E-01	1.25E00
nuclear periphery (GO:0034399)	10	0	.22	-	 < 0.01	1.00E00	1.96E00	0	.25	-	 < 0.01	1.00E00	1.76E00
ruffle (GO:0001726)	13	0	.29	-	 < 0.01	1.00E00	1.62E00	1	.32	+	3.08	2.92E-01	1.06E00
stress fiber (GO:0001725)	4	0	.09	-	 < 0.01	1.00E00	2.06E00	0	.10	-	 < 0.01	1.00E00	1.30E00
proteasome core complex, alpha-subunit complex (GO:0019773)	8	0	.18	-	 < 0.01	1.00E00	1.68E00	0	.20	-	 < 0.01	1.00E00	1.85E00
ciliary transition zone (GO:0035869)	16	0	.35	-	 < 0.01	1.00E00	1.18E00	0	.40	-	 < 0.01	1.00E00	1.96E00
site of double-strand break (GO:0035861)	15	0	.33	-	 < 0.01	1.00E00	1.02E00	0	.37	-	 < 0.01	1.00E00	1.19E00
small ribosomal subunit (GO:0015935)	4	0	.09	-	 < 0.01	1.00E00	2.05E00	0	.10	-	 < 0.01	1.00E00	1.29E00
large ribosomal subunit (GO:0015934)	4	0	.09	-	 < 0.01	1.00E00	2.04E00	0	.10	-	 < 0.01	1.00E00	1.29E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	6	0	.13	-	 < 0.01	1.00E00	1.42E00	0	.15	-	 < 0.01	1.00E00	1.43E00
phosphatidylinositol 3-kinase complex (GO:0005942)	28	0	.62	-	 < 0.01	1.00E00	1.73E00	0	.70	-	 < 0.01	1.00E00	1.65E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	5	0	.11	-	 < 0.01	1.00E00	1.26E00	0	.12	-	 < 0.01	1.00E00	1.38E00
intrinsic component of plasma membrane (GO:0031226)	2	0	.04	-	 < 0.01	1.00E00	1.58E00	0	.05	-	 < 0.01	1.00E00	1.04E00
nuclear speck (GO:0016607)	22	0	.48	-	 < 0.01	1.00E00	1.23E00	0	.55	-	 < 0.01	1.00E00	1.09E00
PML body (GO:0016605)	2	0	.04	-	 < 0.01	1.00E00	1.57E00	0	.05	-	 < 0.01	1.00E00	1.04E00
nuclear body (GO:0016604)	34	0	.75	-	 < 0.01	1.00E00	1.07E00	0	.85	-	 < 0.01	1.00E00	1.26E00
trans-Golgi network transport vesicle (GO:0030140)	9	0	.20	-	 < 0.01	1.00E00	1.48E00	0	.22	-	 < 0.01	1.00E00	1.53E00
acrosomal vesicle (GO:0001669)	7	0	.15	-	 < 0.01	1.00E00	1.10E00	0	.17	-	 < 0.01	1.00E00	1.22E00
axoneme (GO:0005930)	41	0	.90	-	 < 0.01	1.00E00	1.03E00	1	1.02	-	.98	1.00E00	1.92E00
ER membrane protein complex (GO:0072546)	10	0	.22	-	 < 0.01	1.00E00	1.95E00	1	.25	+	4.01	2.37E-01	1.01E00
nuclear chromosome (GO:0000228)	130	0	2.86	-	 < 0.01	1.21E-01	7.74E-01	0	3.24	-	 < 0.01	8.02E-02	4.73E-01
small nuclear ribonucleoprotein complex (GO:0030532)	74	0	1.63	-	 < 0.01	4.13E-01	1.20E00	1	1.85	-	.54	1.00E00	2.22E00
sperm flagellum (GO:0036126)	19	0	.42	-	 < 0.01	1.00E00	1.19E00	1	.47	+	2.11	3.89E-01	1.25E00
Sin3-type complex (GO:0070822)	10	0	.22	-	 < 0.01	1.00E00	1.94E00	0	.25	-	 < 0.01	1.00E00	1.75E00
COPI-coated vesicle (GO:0030137)	12	0	.26	-	 < 0.01	1.00E00	1.30E00	0	.30	-	 < 0.01	1.00E00	1.62E00
midbody (GO:0030496)	6	0	.13	-	 < 0.01	1.00E00	1.41E00	0	.15	-	 < 0.01	1.00E00	1.43E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	41	0	.90	-	 < 0.01	1.00E00	1.02E00	2	1.02	+	1.96	2.81E-01	1.07E00
actin-based cell projection (GO:0098858)	15	0	.33	-	 < 0.01	1.00E00	1.02E00	0	.37	-	 < 0.01	1.00E00	1.19E00
transport vesicle (GO:0030133)	7	0	.15	-	 < 0.01	1.00E00	1.10E00	0	.17	-	 < 0.01	1.00E00	1.21E00
membrane microdomain (GO:0098857)	11	0	.24	-	 < 0.01	1.00E00	1.82E00	0	.27	-	 < 0.01	1.00E00	2.06E00
Lsm2-8 complex (GO:0120115)	29	0	.64	-	 < 0.01	1.00E00	1.03E00	0	.72	-	 < 0.01	1.00E00	1.12E00
Sm-like protein family complex (GO:0120114)	30	0	.66	-	 < 0.01	1.00E00	1.01E00	0	.75	-	 < 0.01	1.00E00	1.34E00
SCAR complex (GO:0031209)	5	0	.11	-	 < 0.01	1.00E00	1.26E00	1	.12	+	8.02	1.37E-01	6.99E-01
Prp19 complex (GO:0000974)	43	0	.95	-	 < 0.01	1.00E00	1.22E00	1	1.07	-	.93	1.00E00	1.79E00
ciliary plasm (GO:0097014)	42	0	.92	-	 < 0.01	1.00E00	1.14E00	1	1.05	-	.95	1.00E00	1.89E00
MCM core complex (GO:0097373)	24	0	.53	-	 < 0.01	1.00E00	1.36E00	0	.60	-	 < 0.01	1.00E00	1.54E00
RNA polymerase complex (GO:0030880)	2	0	.04	-	 < 0.01	1.00E00	1.57E00	0	.05	-	 < 0.01	1.00E00	1.04E00
COPI vesicle coat (GO:0030126)	11	0	.24	-	 < 0.01	1.00E00	1.81E00	0	.27	-	 < 0.01	1.00E00	2.05E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	6	0	.13	-	 < 0.01	1.00E00	1.41E00	0	.15	-	 < 0.01	1.00E00	1.42E00
serine/threonine protein kinase complex (GO:1902554)	15	0	.33	-	 < 0.01	1.00E00	1.02E00	0	.37	-	 < 0.01	1.00E00	1.18E00
protein-DNA complex (GO:0032993)	29	0	.64	-	 < 0.01	1.00E00	1.03E00	0	.72	-	 < 0.01	1.00E00	1.11E00
intracellular organelle lumen (GO:0070013)	5	0	.11	-	 < 0.01	1.00E00	1.25E00	1	.12	+	8.02	1.37E-01	6.92E-01
cell-cell adherens junction (GO:0005913)	42	0	.92	-	 < 0.01	1.00E00	1.14E00	2	1.05	+	1.91	2.90E-01	1.08E00
axonemal microtubule (GO:0005879)	19	0	.42	-	 < 0.01	1.00E00	1.19E00	1	.47	+	2.11	3.89E-01	1.24E00
spindle microtubule (GO:0005876)	12	0	.26	-	 < 0.01	1.00E00	1.29E00	0	.30	-	 < 0.01	1.00E00	1.62E00
oxidoreductase complex (GO:1990204)	18	0	.40	-	 < 0.01	1.00E00	1.06E00	0	.45	-	 < 0.01	1.00E00	1.33E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	50	0	1.10	-	 < 0.01	6.29E-01	1.55E00	1	1.25	-	.80	1.00E00	2.14E00
DNA polymerase complex (GO:0042575)	16	0	.35	-	 < 0.01	1.00E00	1.17E00	1	.40	+	2.51	3.42E-01	1.15E00
ciliary basal body (GO:0036064)	27	0	.59	-	 < 0.01	1.00E00	1.19E00	0	.67	-	 < 0.01	1.00E00	1.06E00
mitochondrial protein complex (GO:0098798)	17	0	.37	-	 < 0.01	1.00E00	1.04E00	0	.42	-	 < 0.01	1.00E00	1.10E00
retromer complex (GO:0030904)	3	0	.07	-	 < 0.01	1.00E00	1.33E00	0	.07	-	 < 0.01	1.00E00	1.08E00
ruffle membrane (GO:0032587)	10	0	.22	-	 < 0.01	1.00E00	1.93E00	1	.25	+	4.01	2.37E-01	9.94E-01
brush border (GO:0005903)	6	0	.13	-	 < 0.01	1.00E00	1.40E00	0	.15	-	 < 0.01	1.00E00	1.42E00
microvillus (GO:0005902)	10	0	.22	-	 < 0.01	1.00E00	1.92E00	0	.25	-	 < 0.01	1.00E00	1.74E00
caveola (GO:0005901)	5	0	.11	-	 < 0.01	1.00E00	1.25E00	1	.12	+	8.02	1.37E-01	6.84E-01
cytoplasmic dynein complex (GO:0005868)	11	0	.24	-	 < 0.01	1.00E00	1.81E00	0	.27	-	 < 0.01	1.00E00	2.04E00
cortical cytoskeleton (GO:0030863)	5	0	.11	-	 < 0.01	1.00E00	1.25E00	0	.12	-	 < 0.01	1.00E00	1.37E00
sarcoplasmic reticulum (GO:0016529)	11	0	.24	-	 < 0.01	1.00E00	1.80E00	1	.27	+	3.65	2.56E-01	1.03E00
Fanconi anaemia nuclear complex (GO:0043240)	7	0	.15	-	 < 0.01	1.00E00	1.09E00	0	.17	-	 < 0.01	1.00E00	1.21E00
ribonucleoprotein granule (GO:0035770)	50	0	1.10	-	 < 0.01	6.29E-01	1.54E00	1	1.25	-	.80	1.00E00	2.13E00
cytoplasmic stress granule (GO:0010494)	9	0	.20	-	 < 0.01	1.00E00	1.47E00	0	.22	-	 < 0.01	1.00E00	1.52E00
axonemal dynein complex (GO:0005858)	25	0	.55	-	 < 0.01	1.00E00	1.13E00	1	.62	+	1.60	4.73E-01	1.35E00
condensed chromosome outer kinetochore (GO:0000940)	1	0	.02	-	 < 0.01	1.00E00	1.12E00	0	.02	-	 < 0.01	1.00E00	1.03E00
nuclear replication fork (GO:0043596)	20	0	.44	-	 < 0.01	1.00E00	1.51E00	0	.50	-	 < 0.01	1.00E00	1.01E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	12	0	.26	-	 < 0.01	1.00E00	1.29E00	0	.30	-	 < 0.01	1.00E00	1.61E00
MCM complex (GO:0042555)	24	0	.53	-	 < 0.01	1.00E00	1.36E00	0	.60	-	 < 0.01	1.00E00	1.54E00
cytosolic large ribosomal subunit (GO:0022625)	75	0	1.65	-	 < 0.01	4.14E-01	1.20E00	1	1.87	-	.53	1.00E00	2.20E00
proteasome accessory complex (GO:0022624)	20	0	.44	-	 < 0.01	1.00E00	1.51E00	0	.50	-	 < 0.01	1.00E00	1.01E00
endoplasmic reticulum tubular network (GO:0071782)	4	0	.09	-	 < 0.01	1.00E00	2.03E00	0	.10	-	 < 0.01	1.00E00	1.28E00
axon initial segment (GO:0043194)	2	0	.04	-	 < 0.01	1.00E00	1.56E00	0	.05	-	 < 0.01	1.00E00	1.04E00
plasma membrane bounded cell projection part (GO:0120038)	26	0	.57	-	 < 0.01	1.00E00	1.38E00	0	.65	-	 < 0.01	1.00E00	1.48E00
neuron projection terminus (GO:0044306)	1	0	.02	-	 < 0.01	1.00E00	1.12E00	0	.02	-	 < 0.01	1.00E00	1.02E00
mRNA cleavage factor complex (GO:0005849)	10	0	.22	-	 < 0.01	1.00E00	1.91E00	0	.25	-	 < 0.01	1.00E00	1.73E00
non-motile cilium (GO:0097730)	10	0	.22	-	 < 0.01	1.00E00	1.91E00	0	.25	-	 < 0.01	1.00E00	1.72E00
P-body (GO:0000932)	32	0	.70	-	 < 0.01	1.00E00	1.23E00	1	.80	+	1.25	5.57E-01	1.48E00
DUBm complex (GO:0071819)	10	0	.22	-	 < 0.01	1.00E00	1.90E00	0	.25	-	 < 0.01	1.00E00	1.72E00
gamma-tubulin complex (GO:0000930)	9	0	.20	-	 < 0.01	1.00E00	1.47E00	0	.22	-	 < 0.01	1.00E00	1.51E00
ribosome (GO:0005840)	17	0	.37	-	 < 0.01	1.00E00	1.04E00	0	.42	-	 < 0.01	1.00E00	1.10E00
Golgi cis cisterna (GO:0000137)	1	0	.02	-	 < 0.01	1.00E00	1.12E00	0	.02	-	 < 0.01	1.00E00	1.02E00
protein kinase complex (GO:1902911)	23	0	.51	-	 < 0.01	1.00E00	1.16E00	0	.57	-	 < 0.01	1.00E00	1.13E00
whole membrane (GO:0098805)	30	0	.66	-	 < 0.01	1.00E00	1.00E00	1	.75	+	1.34	5.34E-01	1.44E00
respiratory chain complex (GO:0098803)	3	0	.07	-	 < 0.01	1.00E00	1.33E00	0	.07	-	 < 0.01	1.00E00	1.08E00
inner mitochondrial membrane protein complex (GO:0098800)	26	0	.57	-	 < 0.01	1.00E00	1.38E00	0	.65	-	 < 0.01	1.00E00	1.47E00
post-mRNA release spliceosomal complex (GO:0071014)	9	0	.20	-	 < 0.01	1.00E00	1.46E00	0	.22	-	 < 0.01	1.00E00	1.50E00
catalytic step 2 spliceosome (GO:0071013)	43	0	.95	-	 < 0.01	1.00E00	1.22E00	1	1.07	-	.93	1.00E00	1.78E00
plasma membrane bounded cell projection (GO:0120025)	37	0	.81	-	 < 0.01	1.00E00	1.15E00	0	.92	-	 < 0.01	1.00E00	1.16E00
PcG protein complex (GO:0031519)	18	0	.40	-	 < 0.01	1.00E00	1.05E00	0	.45	-	 < 0.01	1.00E00	1.32E00
proteasome core complex (GO:0005839)	20	0	.44	-	 < 0.01	1.00E00	1.50E00	0	.50	-	 < 0.01	1.00E00	1.01E00
spindle pole (GO:0000922)	19	0	.42	-	 < 0.01	1.00E00	1.19E00	1	.47	+	2.11	3.89E-01	1.23E00
proteasome regulatory particle (GO:0005838)	20	0	.44	-	 < 0.01	1.00E00	1.50E00	0	.50	-	 < 0.01	1.00E00	1.00E00
motile cilium (GO:0031514)	32	0	.70	-	 < 0.01	1.00E00	1.22E00	1	.80	+	1.25	5.57E-01	1.48E00
chaperonin-containing T-complex (GO:0005832)	8	0	.18	-	 < 0.01	1.00E00	1.67E00	0	.20	-	 < 0.01	1.00E00	1.83E00
calcium channel complex (GO:0034704)	6	0	.13	-	 < 0.01	1.00E00	1.40E00	0	.15	-	 < 0.01	1.00E00	1.41E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	24	0	.53	-	 < 0.01	1.00E00	1.35E00	1	.60	+	1.67	4.60E-01	1.33E00
transcription factor TFIIIC complex (GO:0000127)	7	0	.15	-	 < 0.01	1.00E00	1.09E00	0	.17	-	 < 0.01	1.00E00	1.21E00
rough endoplasmic reticulum (GO:0005791)	11	0	.24	-	 < 0.01	1.00E00	1.79E00	2	.27	+	7.29	3.86E-02	2.79E-01
SAGA complex (GO:0000124)	10	0	.22	-	 < 0.01	1.00E00	1.89E00	0	.25	-	 < 0.01	1.00E00	1.70E00
histone acetyltransferase complex (GO:0000123)	40	0	.88	-	 < 0.01	1.00E00	1.35E00	0	1.00	-	 < 0.01	1.00E00	1.27E00
U2-type prespliceosome (GO:0071004)	13	0	.29	-	 < 0.01	1.00E00	1.62E00	0	.32	-	 < 0.01	1.00E00	1.56E00
nuclear replisome (GO:0043601)	10	0	.22	-	 < 0.01	1.00E00	1.88E00	0	.25	-	 < 0.01	1.00E00	1.70E00
mannosyltransferase complex (GO:0031501)	3	0	.07	-	 < 0.01	1.00E00	1.32E00	0	.07	-	 < 0.01	1.00E00	1.07E00
growth cone (GO:0030426)	5	0	.11	-	 < 0.01	1.00E00	1.24E00	0	.12	-	 < 0.01	1.00E00	1.37E00
histone deacetylase complex (GO:0000118)	13	0	.29	-	 < 0.01	1.00E00	1.61E00	0	.32	-	 < 0.01	1.00E00	1.56E00
COP9 signalosome (GO:0008180)	11	0	.24	-	 < 0.01	1.00E00	1.78E00	0	.27	-	 < 0.01	1.00E00	2.02E00
lamellipodium (GO:0030027)	6	0	.13	-	 < 0.01	1.00E00	1.40E00	1	.15	+	6.68	1.58E-01	7.63E-01
spindle (GO:0005819)	45	0	.99	-	 < 0.01	1.00E00	1.99E00	1	1.12	-	.89	1.00E00	1.12E00
respiratory chain complex IV (GO:0045277)	4	0	.09	-	 < 0.01	1.00E00	2.02E00	0	.10	-	 < 0.01	1.00E00	1.28E00
tethering complex (GO:0099023)	17	0	.37	-	 < 0.01	1.00E00	1.04E00	1	.42	+	2.36	3.58E-01	1.19E00
respiratory chain complex II (GO:0045273)	3	0	.07	-	 < 0.01	1.00E00	1.32E00	0	.07	-	 < 0.01	1.00E00	1.07E00
plasma membrane respiratory chain complex I (GO:0045272)	3	0	.07	-	 < 0.01	1.00E00	1.31E00	0	.07	-	 < 0.01	1.00E00	1.07E00
proteasome complex (GO:0000502)	44	0	.97	-	 < 0.01	1.00E00	1.21E00	0	1.10	-	 < 0.01	6.28E-01	1.59E00
Golgi transport complex (GO:0017119)	7	0	.15	-	 < 0.01	1.00E00	1.09E00	0	.17	-	 < 0.01	1.00E00	1.20E00
Z disc (GO:0030018)	27	0	.59	-	 < 0.01	1.00E00	1.18E00	0	.67	-	 < 0.01	1.00E00	1.06E00
CCR4-NOT complex (GO:0030014)	7	0	.15	-	 < 0.01	1.00E00	1.08E00	0	.17	-	 < 0.01	1.00E00	1.20E00
melanosome (GO:0042470)	9	0	.20	-	 < 0.01	1.00E00	1.46E00	1	.22	+	4.46	2.18E-01	9.41E-01
DNA helicase complex (GO:0033202)	15	0	.33	-	 < 0.01	1.00E00	1.01E00	0	.37	-	 < 0.01	1.00E00	1.18E00
lysosomal membrane (GO:0005765)	29	0	.64	-	 < 0.01	1.00E00	1.03E00	1	.72	+	1.38	5.23E-01	1.45E00
mitochondrial small ribosomal subunit (GO:0005763)	10	0	.22	-	 < 0.01	1.00E00	1.87E00	0	.25	-	 < 0.01	1.00E00	1.69E00
